date,ticker,close_price
2024-04-11,BGBL,63.14
2024-04-11,ETHI,14.65
2024-04-11,GEAR,28.68
2024-04-11,GGOV,13.56
2024-04-11,HACK,11.65
2024-04-11,NDQ,41.90
2024-04-12,A123,129.80
2024-04-12,AAA,50.17
2024-04-12,BBOZ,2.88
2024-04-12,BGBL,63.40
2024-04-12,ETHI,14.73
2024-04-12,GEAR,28.50
2024-04-12,GGOV,13.50
2024-04-12,HACK,11.76
2024-04-12,NDQ,42.57
2024-04-15,A123,129.25
2024-04-15,AAA,50.18
2024-04-15,BBOZ,2.92
2024-04-15,BGBL,63.11
2024-04-15,ETHI,14.65
2024-04-15,GEAR,28.23
2024-04-15,GGOV,13.48
2024-04-15,HACK,11.67
2024-04-15,NDQ,42.27
2024-04-16,A123,126.98
2024-04-16,AAA,50.19
2024-04-16,BBOZ,3.03
2024-04-16,BGBL,62.65
2024-04-16,ETHI,14.53
2024-04-16,GEAR,27.13
2024-04-16,GGOV,13.33
2024-04-16,HACK,11.40
2024-04-16,NDQ,41.77
2024-04-17,A123,126.87
2024-04-17,AAA,50.20
2024-04-17,BBOZ,3.04
2024-04-17,BGBL,62.48
2024-04-17,ETHI,14.52
2024-04-17,GEAR,27.12
2024-04-17,GGOV,13.25
2024-04-17,HACK,11.42
2024-04-17,NDQ,41.75
2024-04-18,A123,127.45
2024-04-18,AAA,50.21
2024-04-18,BBOZ,3.02
2024-04-18,BGBL,62.35
2024-04-18,ETHI,14.43
2024-04-18,GEAR,27.33
2024-04-18,GGOV,13.43
2024-04-18,HACK,11.34
2024-04-18,NDQ,41.36
2024-04-19,A123,126.17
2024-04-19,AAA,50.22
2024-04-19,BBOZ,3.09
2024-04-19,BGBL,61.92
2024-04-19,ETHI,14.28
2024-04-19,GEAR,26.73
2024-04-19,GGOV,13.48
2024-04-19,HACK,11.26
2024-04-19,NDQ,40.84
2024-04-22,A123,127.53
2024-04-22,AAA,50.22
2024-04-22,BBOZ,3.01
2024-04-22,BGBL,62.00
2024-04-22,ETHI,14.26
2024-04-22,GEAR,27.35
2024-04-22,GGOV,13.30
2024-04-22,HACK,11.31
2024-04-22,NDQ,40.42
2024-04-23,A123,128.15
2024-04-23,AAA,50.24
2024-04-23,BBOZ,2.98
2024-04-23,BGBL,62.10
2024-04-23,ETHI,14.31
2024-04-23,GEAR,27.60
2024-04-23,GGOV,13.36
2024-04-23,HACK,11.31
2024-04-23,NDQ,40.39
2024-04-24,A123,128.18
2024-04-24,AAA,50.24
2024-04-24,BBOZ,2.98
2024-04-24,BGBL,62.50
2024-04-24,ETHI,14.48
2024-04-24,GEAR,27.63
2024-04-24,GGOV,13.32
2024-04-24,HACK,11.46
2024-04-24,NDQ,40.95
2024-04-26,A123,126.39
2024-04-26,AAA,50.25
2024-04-26,BBOZ,3.08
2024-04-26,BGBL,62.25
2024-04-26,ETHI,14.30
2024-04-26,GEAR,26.78
2024-04-26,GGOV,13.23
2024-04-26,HACK,11.38
2024-04-26,NDQ,40.91
2024-04-29,A123,127.35
2024-04-29,AAA,50.26
